Date,Region,Weather_Score,Average_Severity
2016-04-01,West Coast,0.4800394169648282,2.5172413793103448
2016-04-01,West Coast,0.3958750198058999,2.619047619047619
2016-04-01,West Coast,0.5023085802184419,2.375
2016-04-01,Mid Atlantic,0.4108135685192101,2.5
2016-04-01,Mid Atlantic,0.4455869795160675,2.0
2016-04-02,West Coast,0.4350697075600366,2.4827586206896552
2016-04-02,West Coast,0.4095814851811374,2.5
2016-04-02,West Coast,0.4055827754695872,3.0
2016-04-02,Mid West,0.5302406355108025,4.0
2016-04-03,West Coast,0.5271016709462015,2.548387096774193
2016-04-03,West Coast,0.4467066631497218,3.0
2016-04-03,West Coast,0.3208030889434661,3.0
2016-04-03,Mid Atlantic,0.4198354078543658,3.0
2016-04-04,West Coast,0.4588205602584129,2.5142857142857142
2016-04-04,West Coast,0.4984757018956441,2.555555555555556
2016-04-04,West Coast,0.5059852875332658,2.333333333333333
2016-04-04,Mid Atlantic,0.4239151023280383,2.0
2016-04-04,Mid Atlantic,0.4815399919013733,3.333333333333333
2016-04-05,West Coast,0.4403777953579322,2.360655737704918
2016-04-05,West Coast,0.4586313574624202,2.272727272727273
2016-04-05,West Coast,0.5242712201987393,2.5
2016-04-05,New England,0.5725140553136933,2.0
2016-04-05,Mid Atlantic,0.4725394399315317,3.0
2016-04-05,Mid Atlantic,0.3703584598496903,2.0
2016-04-05,Mid Atlantic,0.4882114864365823,2.0
2016-04-06,West Coast,0.4565258998617552,2.3548387096774195
2016-04-06,West Coast,0.4969886299966343,2.555555555555556
2016-04-06,West Coast,0.4254391844749097,2.333333333333333
2016-04-06,Mid West,0.4286938211231983,2.0
2016-04-06,Mid Atlantic,0.4113442470955876,2.8
2016-04-06,Mid Atlantic,0.3934657645904604,2.333333333333333
2016-04-07,West Coast,0.3613618105279351,2.4318181818181817
2016-04-07,West Coast,0.4568742578506112,2.609756097560976
2016-04-07,West Coast,0.492057717025802,2.4545454545454546
2016-04-07,Mid West,0.5032583057131627,2.0
2016-04-07,New England,0.623922030665544,2.5
2016-04-07,Mid Atlantic,0.493200896438819,2.5
2016-04-07,Mid Atlantic,0.5327903683382766,2.4
2016-04-08,West Coast,0.3257035152461413,2.45
2016-04-08,West Coast,0.4461987430643487,2.4166666666666665
2016-04-08,West Coast,0.4383185484317298,2.5
2016-04-08,Mid Atlantic,0.43990266685883,3.142857142857143
2016-04-09,West Coast,0.5463346208677475,2.441860465116279
2016-04-09,West Coast,0.4417337125089582,2.0
2016-04-09,West Coast,0.4863428107412721,2.6
2016-04-10,West Coast,0.4171444457844443,2.4571428571428573
2016-04-10,West Coast,0.5149313280792883,2.571428571428572
2016-04-10,West Coast,0.4983827198168329,2.5
2016-04-11,West Coast,0.4449777837977087,2.421052631578948
2016-04-11,West Coast,0.3990464081800483,2.857142857142857
2016-04-11,West Coast,0.4153121127015522,2.272727272727273
2016-04-11,Mid West,0.4700705375202885,2.0
2016-04-11,Mid Atlantic,0.4313853658039929,2.0
2016-04-11,Mid Atlantic,0.4452397907524796,2.0
2016-04-12,West Coast,0.4771327390750818,2.419354838709677
2016-04-12,West Coast,0.420566923209942,2.333333333333333
2016-04-12,West Coast,0.5258758095127353,2.4444444444444446
2016-04-12,New England,0.5101573953528976,2.0
2016-04-12,Mid Atlantic,0.5530657567795093,2.5
2016-04-12,Mid Atlantic,0.5672327154999445,2.0
2016-04-12,Mid Atlantic,0.503921631283558,4.0
2016-04-13,West Coast,0.4325360654058438,2.421052631578948
2016-04-13,West Coast,0.425886283725712,2.4375
2016-04-13,West Coast,0.426080195026739,2.3
2016-04-13,Mid West,0.3576396424978113,2.0
2016-04-13,Mid Atlantic,0.3994369540407509,2.0
2016-04-13,Mid Atlantic,0.4513170267880295,2.4
2016-04-13,Mid Atlantic,0.3964944859277289,2.0
2016-04-14,West Coast,0.4722445091116701,2.5172413793103448
2016-04-14,West Coast,0.3885445168217111,2.526315789473684
2016-04-14,West Coast,0.4927754368440987,2.1666666666666665
2016-04-14,Mid West,0.4457347240267897,2.0
2016-04-14,Mid West,0.4130938666974931,4.0
2016-04-14,Mid Atlantic,0.4418774391321699,2.0
2016-04-14,Mid Atlantic,0.4234058113587691,3.7142857142857135
2016-04-15,West Coast,0.3602046379559358,2.5
2016-04-17,West Coast,0.4261847926709233,2.333333333333333
2016-04-17,West Coast,0.3970738453512077,3.0
2016-04-17,West Coast,0.4214840419012863,2.0
2016-04-17,Mid Atlantic,0.3809400086360681,3.0
2016-04-18,West Coast,0.3940618653742871,2.460526315789474
2016-04-18,West Coast,0.4252386559239854,2.5384615384615383
2016-04-18,West Coast,0.3868726832372572,2.1
2016-04-18,Mid Atlantic,0.4239110227315317,2.25
2016-04-18,Mid Atlantic,0.4352793787580272,2.0
2016-04-19,West Coast,0.4443584232545853,2.396551724137931
2016-04-19,West Coast,0.4267161026863115,2.7142857142857144
2016-04-19,West Coast,0.4058162325382977,2.363636363636364
2016-04-19,Mid West,0.4138989656875049,2.0
2016-04-19,Mid Atlantic,0.4452507678605343,2.0
2016-04-19,Mid Atlantic,0.4210892323446655,2.0
2016-04-19,Mid Atlantic,0.4592137034195414,2.5
2016-04-20,West Coast,0.4247730373054181,2.5
2016-04-20,West Coast,0.4098085867562345,2.565217391304348
2016-04-20,West Coast,0.3848954258323366,2.272727272727273
2016-04-20,Mid Atlantic,0.4280934769826449,2.5
2016-04-20,Mid Atlantic,0.4244372449316579,2.4
2016-04-20,Mid Atlantic,0.3748426091539685,2.0
2016-04-21,West Coast,0.3990687179057052,2.3793103448275863
