City,Date,Score
Albuquerque,2016-01-09,0.47260232097302857
Denver,2016-01-09,0.5285840030550918
San Antonio,2016-01-09,0.4227541095642221
Dallas,2016-01-09,0.43646681227486794
Houston,2016-01-09,0.5306653728630375
Kansas City,2016-01-09,0.5169789758904376
Minneapolis,2016-01-09,0.5028797328952539
Chicago,2016-01-09,0.5111006944429535
Nashville,2016-01-09,0.4987543854840694
Indianapolis,2016-01-09,0.5799195153973934
Atlanta,2016-01-09,0.5797336339149308
Detroit,2016-01-09,0.6288458100838508
Jacksonville,2016-01-09,0.3545294023140766
Charlotte,2016-01-09,0.5031717074070599
Miami,2016-01-09,0.494766365046833
Pittsburgh,2016-01-09,0.5245484990815833
Philadelphia,2016-01-09,0.4318389064173203
New York,2016-01-09,0.4626270109390792
Boston,2016-01-09,0.4334986175967064
Vancouver,2016-01-10,0.5239997146730262
Portland,2016-01-10,0.46490553044000577
San Francisco,2016-01-10,0.5164382334196975
Seattle,2016-01-10,0.5946312034008316
Los Angeles,2016-01-10,0.49441088302225294
San Diego,2016-01-10,0.5719674165075476
Las Vegas,2016-01-10,0.5033373079935985
Phoenix,2016-01-10,0.5771289751864584
Albuquerque,2016-01-10,0.5073501471637323
Denver,2016-01-10,0.5016219628661439
San Antonio,2016-01-10,0.5014465431283603
Dallas,2016-01-10,0.5112557419114296
Houston,2016-01-10,0.4890360359585649
Kansas City,2016-01-10,0.5724035874069188
Minneapolis,2016-01-10,0.42563063461673767
Chicago,2016-01-10,0.48441644688654545
Nashville,2016-01-10,0.5022293745618779
Indianapolis,2016-01-10,0.5011148679997167
Atlanta,2016-01-10,0.5248934539116457
Detroit,2016-01-10,0.5255933593040937
Jacksonville,2016-01-10,0.5236600605265596
Charlotte,2016-01-10,0.5249632093173767
Miami,2016-01-10,0.48786643529338525
Pittsburgh,2016-01-10,0.5422587348304905
Philadelphia,2016-01-10,0.5618731906368636
New York,2016-01-10,0.5679700207469456
Boston,2016-01-10,0.5112426348931429
Vancouver,2016-01-11,0.36039735824513675
Portland,2016-01-11,0.4452167296617236
San Francisco,2016-01-11,0.5073245952929795
Seattle,2016-01-11,0.5304523208851745
Los Angeles,2016-01-11,0.48699309736304686
San Diego,2016-01-11,0.5909572346215152
Las Vegas,2016-01-11,0.4838506491755012
Phoenix,2016-01-11,0.46408107040998237
Albuquerque,2016-01-11,0.5024178490657204
Denver,2016-01-11,0.4096518916804144
San Antonio,2016-01-11,0.5441645910086854
Dallas,2016-01-11,0.3245943408739695
Houston,2016-01-11,0.444829158049817
Kansas City,2016-01-11,0.4537086724710604
Minneapolis,2016-01-11,0.49986796367462644
Chicago,2016-01-11,0.44017058134735987
Nashville,2016-01-11,0.4433518548535887
Indianapolis,2016-01-11,0.48169470566656114
Atlanta,2016-01-11,0.5090979209226645
Detroit,2016-01-11,0.4537414209830561
Jacksonville,2016-01-11,0.5158075637286677
Charlotte,2016-01-11,0.451286359898078
Miami,2016-01-11,0.45138074091207603
Pittsburgh,2016-01-11,0.4811450123541977
Philadelphia,2016-01-11,0.39594389366376526
New York,2016-01-11,0.4399887665495723
Boston,2016-01-11,0.4671530285786283
Vancouver,2016-01-12,0.5889032467730599
Portland,2016-01-12,0.4208456603236836
San Francisco,2016-01-12,0.5376379189170695
Seattle,2016-01-12,0.44818453175271256
Los Angeles,2016-01-12,0.4095012348858872
San Diego,2016-01-12,0.6111663604941369
Las Vegas,2016-01-12,0.34529010362888923
Phoenix,2016-01-12,0.47742041995485
Albuquerque,2016-01-12,0.5452549247035113
Denver,2016-01-12,0.3399746760802278
San Antonio,2016-01-12,0.552408136609641
Dallas,2016-01-12,0.4783478598708372
Houston,2016-01-12,0.5311907839251271
Kansas City,2016-01-12,0.46887447750789185
Minneapolis,2016-01-12,0.44735099832217873
Chicago,2016-01-12,0.4409474867500981
Nashville,2016-01-12,0.45851716153448796
Indianapolis,2016-01-12,0.43137983066524366
Atlanta,2016-01-12,0.3817307953829374
Detroit,2016-01-12,0.5167334236117151
Jacksonville,2016-01-12,0.4386287892852273
Charlotte,2016-01-12,0.45347974737912433
Miami,2016-01-12,0.5032080849315838
Pittsburgh,2016-01-12,0.5326706027406595
Philadelphia,2016-01-12,0.4065578965204602
New York,2016-01-12,0.43510383947419795
Boston,2016-01-12,0.38717423334253065
Vancouver,2016-01-13,0.5706257569537624
Portland,2016-01-13,0.5034389204624946
San Francisco,2016-01-13,0.43279403220525436
Seattle,2016-01-13,0.5611506533634903
Los Angeles,2016-01-13,0.43205934573662697
San Diego,2016-01-13,0.4764016350086015
Las Vegas,2016-01-13,0.5427316628911659
Phoenix,2016-01-13,0.5520268156256011
